source, target, weight
feel, minute, 1
feel, conduct, 1
feel, session, 1
feel, create, 4
feel, charter, 1
feel, brain, 1
feel, tough, 1
feel, camp, 1
feel, team, 5
feel, abc, 1
feel, apple, 1
feel, cabine, 1
feel, reg, 1
feel, engineer, 1
feel, entertainment, 1
feel, mailer, 1
feel, mannequin, 1
feel, rita, 1
feel, fayetteville, 1
feel, strat, 1
feel, couturier, 1
feel, level, 3
feel, orleans, 1
feel, byte, 1
feel, watergate, 1
feel, native, 1
feel, retailer, 1
feel, arena, 1
feel, merchant, 1
feel, salon, 1
feel, officer, 2
feel, real, 5
feel, eye, 3
feel, dvd, 1
feel, walk, 3
feel, corey, 1
feel, skill, 1
feel, opportunity, 1
feel, post, 1
feel, gatos, 1
feel, shanghai, 1
feel, guild, 1
feel, bought, 1
feel, orlando, 1
feel, floor, 1
feel, apartment, 1
feel, video, 1
feel, strike, 1
feel, brian, 1
feel, capital, 2
feel, lake, 2
feel, love, 8
feel, espn, 1
feel, captain, 1
feel, meeting, 6
