the		8270		0.06371144186619827
of		5299		0.040823087115959444
and		4113		0.03168623463067394
be		4001		0.030823395272872946
to		3335		0.025692582663092045
in		3043		0.02344303719453946
a		2560		0.01972204246402268
tiaa		1672		0.012880958984314813
for		1651		0.012719176604727126
have		1154		0.008890326954485224
cref		1084		0.008351052355859603
that		942		0.007257095312933346
s		937		0.007218575698745801
it		937		0.007218575698745801
on		926		0.007133832547533204
as		875		0.006740932482820252
by		866		0.0066715971772826725
with		787		0.006062987273119472
college		760		0.005854981356506733
insurance		701		0.005400449909093711
annuity		646		0.0049767341530307235
at		630		0.004853471387630581
plan		621		0.004784136082093002
new		621		0.004784136082093002
from		617		0.004753320390742967
retirement		607		0.004676281162367878
year		600		0.004622353702505316
or		597		0.004599241933992789
this		582		0.0044836830914301564
not		571		0.0043989399402175585
its		548		0.004221749714954855
pension		541		0.004167822255092293
investment		503		0.0038750731872669564
an		475		0.0036593633478167083
benefit		475		0.0036593633478167083
would		466		0.0035900280422791284
but		437		0.0033666142799913716
fund		418		0.0032202397460787033
university		398		0.003066161289328526
their		391		0.0030122338294659642
life		385		0.0029660102924409107
all		384		0.002958306369603402
company		379		0.0029197867554158576
they		353		0.0027194847616406276
carnegie		346		0.0026655573017780655
state		336		0.002588518073402977
do		333		0.0025654063048904502
one		327		0.002519182767865397
other		322		0.0024806631536778527
percent		316		0.0024344396166527996
make		311		0.002395920002465255
time		303		0.0023342886197651844
stock		303		0.0023342886197651844
institution		293		0.002257249391390096
provide		284		0.002187914085852516
first		279		0.0021493944716649716
he		276		0.0021262827031524453
president		275		0.0021185787803149362
i		267		0.0020569473976148655
security		266		0.002049243474777357
age		264		0.0020338356291023387
income		261		0.0020107238605898124
when		252		0.0019413885550522325
board		252		0.0019413885550522325
york		251		0.0019336846322147237
member		248		0.0019105728637021971
committee		247		0.0019028689408646883
trustee		245		0.0018874610951896706
his		236		0.0018181257896520908
high		234		0.001802717943977073
over		231		0.0017796061754645465
more		230		0.0017719022526270377
foundation		228		0.00175649440695202
individual		228		0.00175649440695202
many		227		0.0017487904841145111
interest		223		0.0017179747927644757
during		219		0.0016871591014144401
system		217		0.0016717512557394224
social		217		0.0016717512557394224
report		217		0.0016717512557394224
corporation		211		0.0016255277187143694
than		210		0.0016178237958768605
study		210		0.0016178237958768605
rate		209		0.0016101198730393517
staff		200		0.0015407845675017718
then		200		0.0015407845675017718
could		198		0.0015253767218267541
professor		197		0.0015176727989892453
change		197		0.0015176727989892453
world		194		0.0014945610304767187
well		194		0.0014945610304767187
out		191		0.0014714492619641922
some		190		0.0014637453391266834
such		190		0.0014637453391266834
large		189		0.0014560414162891745
policyholder		187		0.0014406335706141568
only		186		0.001432929647776648
under		186		0.001432929647776648
association		184		0.00141752180210163
also		184		0.00141752180210163
no		184		0.00141752180210163
participant		184		0.00141752180210163
long		179		0.0013790021879140858
who		177		0.0013635943422390681
work		175		0.0013481864965640504
these		174		0.0013404825737265416
policy		171		0.001317370805214015
major		170		0.0013096668823765062
become		170		0.0013096668823765062
which		165		0.0012711472681889617
public		165		0.0012711472681889617
there		163		0.001255739422513944
about		162		0.0012480354996764352
should		162		0.0012480354996764352
after		162		0.0012480354996764352
establish		160		0.0012326276540014175
common		160		0.0012326276540014175
so		159		0.0012249237311639087
most		158		0.0012172198083263998
tax		158		0.0012172198083263998
financial		157		0.001209515885488891
employee		156		0.0012018119626513821
group		156		0.0012018119626513821
dr		155		0.0011941080398138733
million		153		0.0011787001941388556
we		153		0.0011787001941388556
american		152		0.0011709962713013467
if		152		0.0011709962713013467
service		152		0.0011709962713013467
start		152		0.0011709962713013467
issue		152		0.0011709962713013467
up		151		0.0011632923484638379
number		150		0.001155588425626329
		150		0.001155588425626329
use		149		0.00114788450278882
market		147		0.0011324766571138023
coverage		146		0.0011247727342762934
early		144		0.0011093648886012757
much		142		0.001093957042926258
take		138		0.0010631413515762226
equity		135		0.001040029583063696
include		134		0.0010323256602261873
give		133		0.0010246217373886784
cost		133		0.0010246217373886784
need		132		0.0010169178145511693
education		130		0.0010015099688761517
any		130		0.0010015099688761517
good		130		0.0010015099688761517
retire		129		0.0009938060460386428
through		128		0.000986102123201134
two		126		0.0009706942775261163
disability		124		0.0009552864318510986
great		124		0.0009552864318510986
premium		123		0.0009475825090135897
teacher		122		0.0009398785861760809
business		122		0.0009398785861760809
invest		121		0.000932174663338572
each		120		0.0009244707405010632
officer		120		0.0009244707405010632
will		119		0.0009167668176635543
employer		119		0.0009167668176635543
increase		119		0.0009167668176635543
term		119		0.0009167668176635543
variable		118		0.0009090628948260454
low		118		0.0009090628948260454
into		117		0.0009013589719885365
contract		117		0.0009013589719885365
people		116		0.0008936550491510277
effort		116		0.0008936550491510277
federal		115		0.0008859511263135188
because		115		0.0008859511263135188
receive		113		0.0008705432806385011
industry		113		0.0008705432806385011
period		112		0.0008628393578009923
problem		111		0.0008551354349634834
p		111		0.0008551354349634834
now		110		0.0008474315121259745
educational		110		0.0008474315121259745
medical		110		0.0008474315121259745
them		110		0.0008474315121259745
can		110		0.0008474315121259745
own		109		0.0008397275892884656
dollar		108		0.0008320236664509568
inflation		107		0.000824319743613448
later		107		0.000824319743613448
before		107		0.000824319743613448
amount		107		0.000824319743613448
saving		107		0.000824319743613448
research		107		0.000824319743613448
law		107		0.000824319743613448
contribution		107		0.000824319743613448
total		105		0.0008089118979384303
part		104		0.0008012079751009214
may		104		0.0008012079751009214
both		103		0.0007935040522634126
annual		102		0.0007858001294259037
loan		102		0.0007858001294259037
those		101		0.0007780962065883948
