the		5512		0.04422300848035558
i		4390		0.03522115515761266
be		3968		0.03183543135886265
and		3308		0.026540223521955054
to		3261		0.026163140539629818
a		2949		0.023659951380364405
of		2350		0.018854149116261903
he		1994		0.015997946101202653
in		1797		0.014417406792307507
it		1418		0.011376673807174205
that		1413		0.011336558596288541
we		1315		0.010550300462929534
my		1235		0.009908457088758916
have		1029		0.008255710400269574
d		1003		0.008047111303664123
t		995		0.007982926966247061
say		979		0.007854558291412938
his		887		0.007116438411116728
with		861		0.006907839314511276
for		848		0.0068035397662085505
on		838		0.006723309344437224
s		828		0.006643078922665896
at		815		0.006538779374363171
me		728		0.005840774704952624
but		674		0.005407530427387457
all		598		0.00479777922192537
go		544		0.004364534944360203
one		518		0.004155935847754751
our		517		0.004147912805577619
as		509		0.004083728468160557
do		506		0.004059659341629159
they		502		0.0040275671729206285
you		500		0.004011521088566362
this		498		0.003995475004212097
him		444		0.00356223072664693
out		436		0.0034980463892298683
shoe		422		0.00338572379875001
time		398		0.003193170786498825
from		396		0.003177124702144559
she		389		0.0031209634069046303
up		385		0.003088871238196099
so		384		0.0030808481960189664
like		381		0.0030567790694875684
about		381		0.0030567790694875684
or		379		0.003040732985133303
would		350		0.0028080647619964537
what		344		0.0027599265089336576
day		344		0.0027599265089336576
them		340		0.0027278343402251264
when		327		0.002623534791922401
get		325		0.002607488707568136
no		325		0.002607488707568136
look		321		0.0025753965388596047
then		317		0.002543304370151074
didn		317		0.002543304370151074
more		317		0.002543304370151074
there		316		0.0025352813279739413
make		312		0.00250318915926541
if		308		0.0024710969905568795
an		305		0.002447027864025481
us		281		0.002254474851774296
back		280		0.002246451809597163
by		279		0.0022384287674200305
not		276		0.002214359640888632
take		268		0.00215017530347157
into		267		0.0021421522612944375
could		259		0.0020779679238773757
just		250		0.002005760544283181
bowerman		248		0.0019897144599289158
want		245		0.0019656453333975177
which		245		0.0019656453333975177
come		243		0.0019495992490432522
her		243		0.0019495992490432522
first		234		0.0018773918694490576
told		231		0.0018533227429176596
down		227		0.0018212305742091287
thing		221		0.0017730923211463322
thought		218		0.0017490231946149341
johnson		216		0.0017329771102606686
over		212		0.0017008849415521376
ask		207		0.001660769730666474
give		207		0.001660769730666474
new		206		0.0016527466884893414
who		204		0.001636700604135076
now		202		0.0016206545197808104
some		200		0.001604608435426545
their		199		0.0015965853932494124
wasn		198		0.0015885623510722795
how		198		0.0015885623510722795
need		196		0.0015725162667180141
company		192		0.0015404240980094832
two		190		0.0015243780136552179
onitsuka		187		0.0015003088871238196
than		186		0.001492285844946687
always		185		0.0014842628027695543
blue		185		0.0014842628027695543
other		183		0.0014682167184152887
after		181		0.0014521706340610233
around		179		0.0014361245497067578
year		178		0.001428101507529625
see		178		0.001428101507529625
run		175		0.0014040323809982268
never		175		0.0014040323809982268
way		174		0.0013960093388210941
nike		172		0.0013799632544668288
well		170		0.0013639171701125632
myself		167		0.0013398480435811652
know		165		0.0013238019592268996
woodell		165		0.0013238019592268996
think		164		0.001315778917049767
good		164		0.001315778917049767
before		163		0.0013077558748726343
ribbon		158		0.0012676406639869707
room		157		0.0012596176218098378
work		156		0.001251594579632705
every		155		0.0012435715374555724
try		152		0.0012195024109241742
call		151		0.0012114793687470415
also		151		0.0012114793687470415
man		149		0.0011954332843927761
hand		149		0.0011954332843927761
penny		147		0.0011793872000385106
office		146		0.0011713641578613779
kitami		146		0.0011713641578613779
still		141		0.0011312489469757143
each		141		0.0011312489469757143
might		139		0.0011152028626214487
off		137		0.0010991567782671833
even		136		0.0010911337360900507
can		136		0.0010911337360900507
hayes		135		0.001083110693912918
people		134		0.001075087651735785
couldn		134		0.001075087651735785
right		134		0.001075087651735785
factory		131		0.001051018525204387
sell		130		0.0010429954830272544
ever		129		0.0010349724408501215
only		128		0.0010269493986729888
long		127		0.0010189263564958561
much		127		0.0010189263564958561
next		127		0.0010189263564958561
night		126		0.0010109033143187235
again		125		0.0010028802721415906
business		124		0.0009948572299644579
pre		123		0.0009868341877873252
too		122		0.0009788111456101925
don		122		0.0009788111456101925
maybe		121		0.0009707881034330597
knew		120		0.0009627650612559271
father		120		0.0009627650612559271
talk		120		0.0009627650612559271
start		119		0.0009547420190787943
oregon		119		0.0009547420190787943
big		119		0.0009547420190787943
any		119		0.0009547420190787943
world		118		0.0009467189769016616
something		115		0.0009226498503702634
life		114		0.0009146268081931307
many		114		0.0009146268081931307
your		113		0.000906603766015998
walk		113		0.000906603766015998
stop		113		0.000906603766015998
name		113		0.000906603766015998
few		110		0.0008825346394845997
where		110		0.0008825346394845997
strasser		110		0.0008825346394845997
tell		109		0.0008745115973074671
seem		108		0.0008664885551303343
bank		108		0.0008664885551303343
through		107		0.0008584655129532016
head		107		0.0008584655129532016
most		106		0.0008504424707760688
dollar		105		0.0008424194285989361
moment		102		0.000818350302067538
saw		101		0.0008103272598904052
put		100		0.0008023042177132725
because		98		0.0007862581333590071
those		97		0.0007782350911818744
turn		97		0.0007782350911818744
another		97		0.0007782350911818744
same		96		0.0007702120490047416
place		95		0.0007621890068276089
everyone		95		0.0007621890068276089
eye		95		0.0007621890068276089
course		95		0.0007621890068276089
last		93		0.0007461429224733435
felt		92		0.0007381198802962107
mr		92		0.0007381198802962107
japan		91		0.000730096838119078
home		89		0.0007140507537648125
old		89		0.0007140507537648125
found		89		0.0007140507537648125
re		89		0.0007140507537648125
write		89		0.0007140507537648125
later		88		0.0007060277115876799
nothing		87		0.0006980046694105471
word		87		0.0006980046694105471
both		87		0.0006980046694105471
japanese		87		0.0006980046694105471
